"Characteristic","Total","Female","Male","Unknown"
"AGE","","","",""
"Total","1,096,611","584,426","512,176","9"
"Under 1 year","2,959","1,472","1,487","-"
"1 to 4 years","34,215","16,976","17,239","-"
"5 to 9 years","61,533","30,098","31,433","2"
"10 to 14 years","64,298","31,416","32,881","1"
"15 to 19 years","80,317","38,898","41,417","2"
"20 to 24 years","91,213","50,629","40,583","1"
"25 to 29 years","124,077","68,542","55,535","-"
"30 to 34 years","138,204","70,019","68,184","1"
"35 to 39 years","116,352","58,854","57,498","-"
"40 to 44 years","93,808","50,032","43,775","1"
"45 to 49 years","79,901","44,344","35,557","-"
"50 to 54 years","62,506","36,094","26,411","1"
"55 to 59 years","48,504","28,651","19,853","-"
"60 to 64 years","38,503","22,650","15,853","-"
"65 to 74 years","44,452","26,367","18,085","-"
"75 years and over","15,769","9,384","6,385","-"
"BROAD AGE GROUPS","","","",""
"Total","1,096,611","584,426","512,176","9"
"Under 16 years","177,300","86,839","90,458","3"
"16 to 20 years","85,830","42,113","43,715","2"
"21 years and over","833,481","455,474","378,003","4"
"MARITAL STATUS","","","",""
"Total","1,096,611","584,426","512,176","9"
"Married","627,443","342,625","284,816","2"
"Single","400,196","191,733","208,457","6"
"Widowed","26,579","23,446","3,133","-"
"Divorced/separated","32,416","22,045","10,371","-"
"Unknown","9,977","4,577","5,399","1"
"OCCUPATION","","","",""
"Total","1,096,611","584,426","512,176","9"
"Management, professional, and related occupations","114,188","47,830","66,357","1"
"Service occupations","42,652","22,243","20,409","-"
"Sales and office occupations","44,871","23,430","21,441","-"
"Farming, fishing, and forestry occupations","12,006","2,270","9,736","-"
"Construction, extraction, maintenance, and repair occupations","16,838","624","16,214","-"
"Production, transportation, and material moving occupations","55,385","11,810","43,575","-"
"Military","80","22","58","-"
"No occupation/not working outside home","474,469","298,260","176,202","7"
"Homemakers","118,819","112,400","6,418","1"
"Students or children","253,623","124,984","128,634","5"
"Retirees","6,854","3,926","2,928","-"
"Unemployed","95,173","56,950","38,222","1"
"Unknown","336,122","177,937","158,184","1"
